Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,070243,1973,11,22,0.0,,Y
IDCJAC0009,070243,1973,11,23,0.0,,Y
IDCJAC0009,070243,1973,11,24,0.0,,Y
IDCJAC0009,070243,1973,11,25,0.0,,Y
IDCJAC0009,070243,1973,11,26,0.0,,Y
IDCJAC0009,070243,1973,11,27,8.9,1,Y
IDCJAC0009,070243,1973,11,28,1.8,1,Y
IDCJAC0009,070243,1973,11,29,22.6,1,Y
IDCJAC0009,070243,1973,11,30,0.3,1,Y
IDCJAC0009,070243,1973,12,01,0.0,,Y
IDCJAC0009,070243,1973,12,02,0.0,,Y
IDCJAC0009,070243,1973,12,03,4.1,1,Y
IDCJAC0009,070243,1973,12,04,0.0,,Y
IDCJAC0009,070243,1973,12,05,0.0,,Y
IDCJAC0009,070243,1973,12,06,0.0,,Y
IDCJAC0009,070243,1973,12,07,0.0,,Y
IDCJAC0009,070243,1973,12,08,0.0,,Y
IDCJAC0009,070243,1973,12,09,0.0,,Y
IDCJAC0009,070243,1973,12,10,0.0,,Y
IDCJAC0009,070243,1973,12,11,0.0,,Y
IDCJAC0009,070243,1973,12,12,0.0,,Y
IDCJAC0009,070243,1973,12,13,0.0,,Y
IDCJAC0009,070243,1973,12,14,0.0,,Y
IDCJAC0009,070243,1973,12,15,0.0,,Y
IDCJAC0009,070243,1973,12,16,20.8,1,Y
IDCJAC0009,070243,1973,12,17,0.0,,Y
IDCJAC0009,070243,1973,12,18,0.0,,Y
IDCJAC0009,070243,1973,12,19,6.1,1,Y
IDCJAC0009,070243,1973,12,20,0.0,,Y
IDCJAC0009,070243,1973,12,21,0.3,1,Y
IDCJAC0009,070243,1973,12,22,1.5,1,Y
IDCJAC0009,070243,1973,12,23,0.0,,Y
IDCJAC0009,070243,1973,12,24,0.0,,Y
IDCJAC0009,070243,1973,12,25,0.0,,Y
IDCJAC0009,070243,1973,12,26,0.0,,Y
IDCJAC0009,070243,1973,12,27,0.0,,Y
IDCJAC0009,070243,1973,12,28,0.8,1,Y
IDCJAC0009,070243,1973,12,29,0.0,,Y
IDCJAC0009,070243,1973,12,30,0.3,1,Y
IDCJAC0009,070243,1973,12,31,18.8,1,Y
IDCJAC0009,070243,1974,01,01,0.0,,Y
IDCJAC0009,070243,1974,01,02,0.0,,Y
IDCJAC0009,070243,1974,01,03,0.0,,Y
IDCJAC0009,070243,1974,01,04,0.0,,Y
IDCJAC0009,070243,1974,01,05,14.6,1,Y
IDCJAC0009,070243,1974,01,06,0.0,,Y
IDCJAC0009,070243,1974,01,07,0.0,,Y
IDCJAC0009,070243,1974,01,08,0.0,,Y
IDCJAC0009,070243,1974,01,09,0.0,,Y
IDCJAC0009,070243,1974,01,10,5.6,1,Y
IDCJAC0009,070243,1974,01,11,83.8,1,Y
IDCJAC0009,070243,1974,01,12,0.0,,Y
IDCJAC0009,070243,1974,01,13,0.0,,Y
IDCJAC0009,070243,1974,01,14,0.0,,Y
IDCJAC0009,070243,1974,01,15,0.0,,Y
IDCJAC0009,070243,1974,01,16,0.1,1,Y
IDCJAC0009,070243,1974,01,17,0.0,,Y
IDCJAC0009,070243,1974,01,18,0.4,1,Y
IDCJAC0009,070243,1974,01,19,0.0,,Y
IDCJAC0009,070243,1974,01,20,0.0,,Y
IDCJAC0009,070243,1974,01,21,0.0,,Y
IDCJAC0009,070243,1974,01,22,0.0,,Y
IDCJAC0009,070243,1974,01,23,4.4,1,Y
IDCJAC0009,070243,1974,01,24,0.0,,Y
IDCJAC0009,070243,1974,01,25,0.0,,Y
IDCJAC0009,070243,1974,01,26,0.0,,Y
IDCJAC0009,070243,1974,01,27,0.6,1,Y
IDCJAC0009,070243,1974,01,28,0.0,,Y
IDCJAC0009,070243,1974,01,29,0.0,,Y
IDCJAC0009,070243,1974,01,30,0.0,,Y
IDCJAC0009,070243,1974,01,31,0.0,,Y
IDCJAC0009,070243,1974,02,01,0.0,,Y
IDCJAC0009,070243,1974,02,02,0.2,1,Y
IDCJAC0009,070243,1974,02,03,0.0,,Y
IDCJAC0009,070243,1974,02,04,0.0,,Y
IDCJAC0009,070243,1974,02,05,0.0,,Y
IDCJAC0009,070243,1974,02,06,0.0,,Y
IDCJAC0009,070243,1974,02,07,0.0,,Y
IDCJAC0009,070243,1974,02,08,0.0,,Y
IDCJAC0009,070243,1974,02,09,0.0,,Y
IDCJAC0009,070243,1974,02,10,0.0,,Y
IDCJAC0009,070243,1974,02,11,0.0,,Y
IDCJAC0009,070243,1974,02,12,0.0,,Y
IDCJAC0009,070243,1974,02,13,0.0,,Y
IDCJAC0009,070243,1974,02,14,0.0,,Y
IDCJAC0009,070243,1974,02,15,0.0,,Y
IDCJAC0009,070243,1974,02,16,0.4,1,Y
IDCJAC0009,070243,1974,02,17,0.1,1,Y
IDCJAC0009,070243,1974,02,18,0.8,1,Y
IDCJAC0009,070243,1974,02,19,25.8,1,Y
IDCJAC0009,070243,1974,02,20,38.4,1,Y
IDCJAC0009,070243,1974,02,21,0.0,,Y
IDCJAC0009,070243,1974,02,22,0.0,,Y
IDCJAC0009,070243,1974,02,23,0.0,,Y
IDCJAC0009,070243,1974,02,24,0.0,,Y
IDCJAC0009,070243,1974,02,25,0.0,,Y
IDCJAC0009,070243,1974,02,26,0.0,,Y
IDCJAC0009,070243,1974,02,27,0.0,,Y
IDCJAC0009,070243,1974,02,28,0.0,,Y
IDCJAC0009,070243,1974,03,01,0.0,,Y
IDCJAC0009,070243,1974,03,02,0.0,,Y
IDCJAC0009,070243,1974,03,03,0.0,,Y
IDCJAC0009,070243,1974,03,04,0.0,,Y
IDCJAC0009,070243,1974,03,05,0.0,,Y
IDCJAC0009,070243,1974,03,06,0.0,,Y
IDCJAC0009,070243,1974,03,07,0.0,,Y
IDCJAC0009,070243,1974,03,08,1.6,1,Y
IDCJAC0009,070243,1974,03,09,0.6,1,Y
IDCJAC0009,070243,1974,03,10,0.0,,Y
IDCJAC0009,070243,1974,03,11,8.8,1,Y
IDCJAC0009,070243,1974,03,12,7.2,1,Y
IDCJAC0009,070243,1974,03,13,1.0,1,Y
IDCJAC0009,070243,1974,03,14,0.0,,Y
IDCJAC0009,070243,1974,03,15,0.0,,Y
IDCJAC0009,070243,1974,03,16,0.0,,Y
IDCJAC0009,070243,1974,03,17,0.0,,Y
IDCJAC0009,070243,1974,03,18,1.4,1,Y
IDCJAC0009,070243,1974,03,19,0.0,,Y
IDCJAC0009,070243,1974,03,20,0.0,,Y
IDCJAC0009,070243,1974,03,21,3.2,1,Y
IDCJAC0009,070243,1974,03,22,39.2,1,Y
IDCJAC0009,070243,1974,03,23,0.1,1,Y
IDCJAC0009,070243,1974,03,24,2.0,1,Y
IDCJAC0009,070243,1974,03,25,0.0,,Y
IDCJAC0009,070243,1974,03,26,0.2,1,Y
IDCJAC0009,070243,1974,03,27,0.0,,Y
IDCJAC0009,070243,1974,03,28,0.0,,Y
IDCJAC0009,070243,1974,03,29,0.0,,Y
IDCJAC0009,070243,1974,03,30,0.0,,Y
IDCJAC0009,070243,1974,03,31,0.0,,Y
IDCJAC0009,070243,1974,04,01,4.6,1,Y
IDCJAC0009,070243,1974,04,02,1.6,1,Y
IDCJAC0009,070243,1974,04,03,13.2,1,Y
IDCJAC0009,070243,1974,04,04,0.0,,Y
IDCJAC0009,070243,1974,04,05,0.0,,Y
IDCJAC0009,070243,1974,04,06,0.0,,Y
IDCJAC0009,070243,1974,04,07,0.2,1,Y
IDCJAC0009,070243,1974,04,08,1.8,1,Y
IDCJAC0009,070243,1974,04,09,37.6,1,Y
IDCJAC0009,070243,1974,04,10,48.0,1,Y
IDCJAC0009,070243,1974,04,11,17.0,1,Y
IDCJAC0009,070243,1974,04,12,27.8,1,Y
IDCJAC0009,070243,1974,04,13,4.2,1,Y
IDCJAC0009,070243,1974,04,14,4.4,1,Y
IDCJAC0009,070243,1974,04,15,0.0,,Y
IDCJAC0009,070243,1974,04,16,0.0,,Y
IDCJAC0009,070243,1974,04,17,0.0,,Y
IDCJAC0009,070243,1974,04,18,0.0,,Y
IDCJAC0009,070243,1974,04,19,0.0,,Y
IDCJAC0009,070243,1974,04,20,3.8,1,Y
IDCJAC0009,070243,1974,04,21,1.0,1,Y
IDCJAC0009,070243,1974,04,22,3.2,1,Y
IDCJAC0009,070243,1974,04,23,0.4,1,Y
IDCJAC0009,070243,1974,04,24,5.6,1,Y
IDCJAC0009,070243,1974,04,25,0.0,,Y
IDCJAC0009,070243,1974,04,26,0.0,,Y
IDCJAC0009,070243,1974,04,27,2.2,1,Y
IDCJAC0009,070243,1974,04,28,6.8,1,Y
IDCJAC0009,070243,1974,04,29,3.0,1,Y
IDCJAC0009,070243,1974,04,30,3.2,1,Y
IDCJAC0009,070243,1974,05,01,0.0,,Y
IDCJAC0009,070243,1974,05,02,0.0,,Y
IDCJAC0009,070243,1974,05,03,0.0,,Y
IDCJAC0009,070243,1974,05,04,0.0,,Y
IDCJAC0009,070243,1974,05,05,0.2,1,Y
IDCJAC0009,070243,1974,05,06,0.0,,Y
IDCJAC0009,070243,1974,05,07,0.0,,Y
IDCJAC0009,070243,1974,05,08,0.0,,Y
IDCJAC0009,070243,1974,05,09,0.0,,Y
IDCJAC0009,070243,1974,05,10,0.0,,Y
IDCJAC0009,070243,1974,05,11,3.4,1,Y
IDCJAC0009,070243,1974,05,12,0.0,,Y
IDCJAC0009,070243,1974,05,13,0.0,,Y
IDCJAC0009,070243,1974,05,14,0.0,,Y
IDCJAC0009,070243,1974,05,15,0.1,1,Y
IDCJAC0009,070243,1974,05,16,17.2,1,Y
IDCJAC0009,070243,1974,05,17,0.0,,Y
IDCJAC0009,070243,1974,05,18,1.2,1,Y
IDCJAC0009,070243,1974,05,19,0.0,,Y
IDCJAC0009,070243,1974,05,20,0.0,,Y
IDCJAC0009,070243,1974,05,21,0.0,,Y
IDCJAC0009,070243,1974,05,22,0.0,,Y
IDCJAC0009,070243,1974,05,23,0.0,,Y
IDCJAC0009,070243,1974,05,24,0.2,1,Y
IDCJAC0009,070243,1974,05,25,31.0,1,Y
IDCJAC0009,070243,1974,05,26,3.0,1,Y
IDCJAC0009,070243,1974,05,27,0.1,1,Y
IDCJAC0009,070243,1974,05,28,0.0,,Y
IDCJAC0009,070243,1974,05,29,0.0,,Y
IDCJAC0009,070243,1974,05,30,0.0,,Y
IDCJAC0009,070243,1974,05,31,0.0,,Y
IDCJAC0009,070243,1974,06,01,0.0,,Y
IDCJAC0009,070243,1974,06,02,0.0,,Y
IDCJAC0009,070243,1974,06,03,0.2,1,Y
IDCJAC0009,070243,1974,06,04,0.0,,Y
IDCJAC0009,070243,1974,06,05,2.6,1,Y
IDCJAC0009,070243,1974,06,06,0.0,,Y
IDCJAC0009,070243,1974,06,07,0.0,,Y
IDCJAC0009,070243,1974,06,08,0.0,,Y
IDCJAC0009,070243,1974,06,09,0.0,,Y
IDCJAC0009,070243,1974,06,10,0.0,,Y
IDCJAC0009,070243,1974,06,11,1.6,1,Y
IDCJAC0009,070243,1974,06,12,0.0,,Y
IDCJAC0009,070243,1974,06,13,0.0,,Y
IDCJAC0009,070243,1974,06,14,0.0,,Y
IDCJAC0009,070243,1974,06,15,0.0,,Y
IDCJAC0009,070243,1974,06,16,0.4,1,Y
IDCJAC0009,070243,1974,06,17,0.0,,Y
IDCJAC0009,070243,1974,06,18,0.0,,Y
IDCJAC0009,070243,1974,06,19,0.0,,Y
IDCJAC0009,070243,1974,06,20,0.0,,Y
IDCJAC0009,070243,1974,06,21,0.0,,Y
IDCJAC0009,070243,1974,06,22,0.0,,Y
IDCJAC0009,070243,1974,06,23,0.0,,Y
IDCJAC0009,070243,1974,06,24,0.0,,Y
IDCJAC0009,070243,1974,06,25,0.0,,Y
IDCJAC0009,070243,1974,06,26,0.0,,Y
IDCJAC0009,070243,1974,06,27,0.0,,Y
IDCJAC0009,070243,1974,06,28,0.0,,Y
IDCJAC0009,070243,1974,06,29,8.8,1,Y
IDCJAC0009,070243,1974,06,30,10.8,1,Y
IDCJAC0009,070243,1974,07,01,2.0,1,Y
IDCJAC0009,070243,1974,07,02,0.2,1,Y
IDCJAC0009,070243,1974,07,03,0.2,1,Y
IDCJAC0009,070243,1974,07,04,0.1,1,Y
IDCJAC0009,070243,1974,07,05,2.4,1,Y
IDCJAC0009,070243,1974,07,06,3.6,1,Y
IDCJAC0009,070243,1974,07,07,0.0,,Y
IDCJAC0009,070243,1974,07,08,0.2,1,Y
IDCJAC0009,070243,1974,07,09,0.0,,Y
IDCJAC0009,070243,1974,07,10,0.0,,Y
IDCJAC0009,070243,1974,07,11,0.0,,Y
IDCJAC0009,070243,1974,07,12,1.0,1,Y
IDCJAC0009,070243,1974,07,13,0.2,1,Y
IDCJAC0009,070243,1974,07,14,0.0,,Y
IDCJAC0009,070243,1974,07,15,0.0,,Y
IDCJAC0009,070243,1974,07,16,1.6,1,Y
IDCJAC0009,070243,1974,07,17,1.0,1,Y
IDCJAC0009,070243,1974,07,18,15.6,1,Y
IDCJAC0009,070243,1974,07,19,11.4,1,Y
IDCJAC0009,070243,1974,07,20,0.4,1,Y
IDCJAC0009,070243,1974,07,21,1.0,1,Y
IDCJAC0009,070243,1974,07,22,0.6,1,Y
IDCJAC0009,070243,1974,07,23,0.0,,Y
IDCJAC0009,070243,1974,07,24,0.0,,Y
IDCJAC0009,070243,1974,07,25,0.0,,Y
IDCJAC0009,070243,1974,07,26,5.2,1,Y
IDCJAC0009,070243,1974,07,27,5.0,1,Y
IDCJAC0009,070243,1974,07,28,0.0,,Y
IDCJAC0009,070243,1974,07,29,0.0,,Y
IDCJAC0009,070243,1974,07,30,0.0,,Y
IDCJAC0009,070243,1974,07,31,0.8,1,Y
IDCJAC0009,070243,1974,08,01,0.0,,Y
IDCJAC0009,070243,1974,08,02,0.0,,Y
IDCJAC0009,070243,1974,08,03,2.0,1,Y
IDCJAC0009,070243,1974,08,04,5.4,1,Y
IDCJAC0009,070243,1974,08,05,2.0,1,Y
IDCJAC0009,070243,1974,08,06,0.0,,Y
IDCJAC0009,070243,1974,08,07,0.0,,Y
IDCJAC0009,070243,1974,08,08,0.0,,Y
IDCJAC0009,070243,1974,08,09,3.4,1,Y
IDCJAC0009,070243,1974,08,10,0.0,,Y
IDCJAC0009,070243,1974,08,11,0.2,1,Y
IDCJAC0009,070243,1974,08,12,0.0,,Y
IDCJAC0009,070243,1974,08,13,0.0,,Y
IDCJAC0009,070243,1974,08,14,0.0,,Y
IDCJAC0009,070243,1974,08,15,1.4,1,Y
IDCJAC0009,070243,1974,08,16,3.4,1,Y
IDCJAC0009,070243,1974,08,17,0.0,,Y
IDCJAC0009,070243,1974,08,18,0.0,,Y
IDCJAC0009,070243,1974,08,19,0.0,,Y
IDCJAC0009,070243,1974,08,20,0.0,,Y
IDCJAC0009,070243,1974,08,21,0.0,,Y
IDCJAC0009,070243,1974,08,22,0.0,,Y
IDCJAC0009,070243,1974,08,23,0.0,,Y
IDCJAC0009,070243,1974,08,24,0.0,,Y
IDCJAC0009,070243,1974,08,25,0.0,,Y
IDCJAC0009,070243,1974,08,26,4.8,1,Y
IDCJAC0009,070243,1974,08,27,34.6,1,Y
IDCJAC0009,070243,1974,08,28,52.8,1,Y
IDCJAC0009,070243,1974,08,29,45.4,1,Y
IDCJAC0009,070243,1974,08,30,0.0,,Y
IDCJAC0009,070243,1974,08,31,3.4,1,Y
IDCJAC0009,070243,1974,09,01,1.4,1,Y
IDCJAC0009,070243,1974,09,02,11.0,1,Y
IDCJAC0009,070243,1974,09,03,0.0,,Y
IDCJAC0009,070243,1974,09,04,0.0,,Y
IDCJAC0009,070243,1974,09,05,36.0,1,Y
IDCJAC0009,070243,1974,09,06,1.0,1,Y
IDCJAC0009,070243,1974,09,07,0.0,,Y
IDCJAC0009,070243,1974,09,08,0.0,,Y
IDCJAC0009,070243,1974,09,09,0.0,,Y
IDCJAC0009,070243,1974,09,10,0.0,,Y
IDCJAC0009,070243,1974,09,11,0.0,,Y
IDCJAC0009,070243,1974,09,12,0.0,,Y
IDCJAC0009,070243,1974,09,13,0.0,,Y
IDCJAC0009,070243,1974,09,14,6.2,1,Y
IDCJAC0009,070243,1974,09,15,3.0,1,Y
IDCJAC0009,070243,1974,09,16,0.0,,Y
IDCJAC0009,070243,1974,09,17,0.0,,Y
IDCJAC0009,070243,1974,09,18,0.0,,Y
IDCJAC0009,070243,1974,09,19,0.0,,Y
IDCJAC0009,070243,1974,09,20,0.2,1,Y
IDCJAC0009,070243,1974,09,21,0.6,1,Y
IDCJAC0009,070243,1974,09,22,0.0,,Y
IDCJAC0009,070243,1974,09,23,0.0,,Y
IDCJAC0009,070243,1974,09,24,5.8,1,Y
IDCJAC0009,070243,1974,09,25,1.4,1,Y
IDCJAC0009,070243,1974,09,26,6.6,1,Y
IDCJAC0009,070243,1974,09,27,0.0,,Y
IDCJAC0009,070243,1974,09,28,0.0,,Y
IDCJAC0009,070243,1974,09,29,0.0,,Y
IDCJAC0009,070243,1974,09,30,1.6,1,Y
IDCJAC0009,070243,1974,10,01,25.4,1,Y
IDCJAC0009,070243,1974,10,02,0.0,,Y
IDCJAC0009,070243,1974,10,03,0.0,,Y
IDCJAC0009,070243,1974,10,04,11.6,1,Y
IDCJAC0009,070243,1974,10,05,17.8,1,Y
IDCJAC0009,070243,1974,10,06,19.8,1,Y
IDCJAC0009,070243,1974,10,07,0.0,,Y
IDCJAC0009,070243,1974,10,08,0.0,,Y
IDCJAC0009,070243,1974,10,09,0.6,1,Y
IDCJAC0009,070243,1974,10,10,0.1,1,Y
IDCJAC0009,070243,1974,10,11,1.0,1,Y
IDCJAC0009,070243,1974,10,12,0.0,,Y
IDCJAC0009,070243,1974,10,13,3.0,1,Y
IDCJAC0009,070243,1974,10,14,0.0,,Y
IDCJAC0009,070243,1974,10,15,0.0,,Y
IDCJAC0009,070243,1974,10,16,0.0,,Y
IDCJAC0009,070243,1974,10,17,38.4,1,Y
IDCJAC0009,070243,1974,10,18,22.8,1,Y
IDCJAC0009,070243,1974,10,19,0.0,,Y
IDCJAC0009,070243,1974,10,20,1.4,1,Y
IDCJAC0009,070243,1974,10,21,0.0,,Y
IDCJAC0009,070243,1974,10,22,0.0,,Y
IDCJAC0009,070243,1974,10,23,4.8,1,Y
IDCJAC0009,070243,1974,10,24,0.0,,Y
IDCJAC0009,070243,1974,10,25,3.6,1,Y
IDCJAC0009,070243,1974,10,26,0.0,,Y
IDCJAC0009,070243,1974,10,27,0.0,,Y
IDCJAC0009,070243,1974,10,28,0.0,,Y
IDCJAC0009,070243,1974,10,29,8.0,1,Y
IDCJAC0009,070243,1974,10,30,4.4,1,Y
IDCJAC0009,070243,1974,10,31,0.0,,Y
IDCJAC0009,070243,1974,11,01,6.8,1,Y
IDCJAC0009,070243,1974,11,02,6.6,1,Y
IDCJAC0009,070243,1974,11,03,18.2,1,Y
IDCJAC0009,070243,1974,11,04,0.4,1,Y
IDCJAC0009,070243,1974,11,05,0.0,,Y
IDCJAC0009,070243,1974,11,06,16.2,1,Y
IDCJAC0009,070243,1974,11,07,0.0,,Y
IDCJAC0009,070243,1974,11,08,0.0,,Y
IDCJAC0009,070243,1974,11,09,0.0,,Y
IDCJAC0009,070243,1974,11,10,0.0,,Y
IDCJAC0009,070243,1974,11,11,0.0,,Y
IDCJAC0009,070243,1974,11,12,0.0,,Y
IDCJAC0009,070243,1974,11,13,8.6,1,Y
IDCJAC0009,070243,1974,11,14,0.0,,Y
IDCJAC0009,070243,1974,11,15,0.0,,Y
IDCJAC0009,070243,1974,11,16,0.0,,Y
IDCJAC0009,070243,1974,11,17,0.0,,Y
IDCJAC0009,070243,1974,11,18,0.0,,Y
IDCJAC0009,070243,1974,11,19,0.0,,Y
IDCJAC0009,070243,1974,11,20,0.0,,Y
IDCJAC0009,070243,1974,11,21,0.0,,Y
IDCJAC0009,070243,1974,11,22,0.0,,Y
IDCJAC0009,070243,1974,11,23,5.0,1,Y
IDCJAC0009,070243,1974,11,24,0.0,,Y
IDCJAC0009,070243,1974,11,25,0.0,,Y
IDCJAC0009,070243,1974,11,26,0.0,,Y
IDCJAC0009,070243,1974,11,27,22.0,1,Y
IDCJAC0009,070243,1974,11,28,0.0,,Y
IDCJAC0009,070243,1974,11,29,7.2,1,Y
IDCJAC0009,070243,1974,11,30,0.0,,Y
IDCJAC0009,070243,1974,12,01,0.0,,Y
IDCJAC0009,070243,1974,12,02,0.0,,Y
IDCJAC0009,070243,1974,12,03,0.0,,Y
IDCJAC0009,070243,1974,12,04,0.0,,Y
IDCJAC0009,070243,1974,12,05,0.0,,Y
IDCJAC0009,070243,1974,12,06,0.0,,Y
IDCJAC0009,070243,1974,12,07,0.0,,Y
IDCJAC0009,070243,1974,12,08,0.0,,Y
IDCJAC0009,070243,1974,12,09,0.0,,Y
IDCJAC0009,070243,1974,12,10,0.0,,Y
IDCJAC0009,070243,1974,12,11,0.0,,Y
IDCJAC0009,070243,1974,12,12,0.0,,Y
IDCJAC0009,070243,1974,12,13,0.0,,Y
IDCJAC0009,070243,1974,12,14,0.0,,Y
IDCJAC0009,070243,1974,12,15,0.0,,Y
IDCJAC0009,070243,1974,12,16,0.0,,Y
IDCJAC0009,070243,1974,12,17,0.8,1,Y
IDCJAC0009,070243,1974,12,18,0.0,,Y
IDCJAC0009,070243,1974,12,19,0.0,,Y
IDCJAC0009,070243,1974,12,20,0.0,,Y
IDCJAC0009,070243,1974,12,21,0.0,,Y
IDCJAC0009,070243,1974,12,22,0.0,,Y
IDCJAC0009,070243,1974,12,23,0.0,,Y
IDCJAC0009,070243,1974,12,24,0.0,,Y
IDCJAC0009,070243,1974,12,25,0.0,,Y
IDCJAC0009,070243,1974,12,26,0.0,,Y
IDCJAC0009,070243,1974,12,27,0.0,,Y
IDCJAC0009,070243,1974,12,28,0.0,,Y
IDCJAC0009,070243,1974,12,29,0.0,,Y
IDCJAC0009,070243,1974,12,30,0.0,,Y
IDCJAC0009,070243,1974,12,31,0.0,,Y
IDCJAC0009,070243,1975,01,01,0.0,,Y
IDCJAC0009,070243,1975,01,02,0.0,,Y
IDCJAC0009,070243,1975,01,03,0.0,,Y
IDCJAC0009,070243,1975,01,04,0.4,1,Y
IDCJAC0009,070243,1975,01,05,0.0,,Y
IDCJAC0009,070243,1975,01,06,0.0,,Y
IDCJAC0009,070243,1975,01,07,0.0,,Y
IDCJAC0009,070243,1975,01,08,0.0,,Y
IDCJAC0009,070243,1975,01,09,0.0,,Y
IDCJAC0009,070243,1975,01,10,21.2,1,Y
IDCJAC0009,070243,1975,01,11,0.0,,Y
IDCJAC0009,070243,1975,01,12,0.0,,Y
IDCJAC0009,070243,1975,01,13,0.0,,Y
IDCJAC0009,070243,1975,01,14,0.0,,Y
IDCJAC0009,070243,1975,01,15,0.0,,Y
IDCJAC0009,070243,1975,01,16,0.0,,Y
IDCJAC0009,070243,1975,01,17,0.0,,Y
IDCJAC0009,070243,1975,01,18,0.0,,Y
IDCJAC0009,070243,1975,01,19,0.0,,Y
IDCJAC0009,070243,1975,01,20,0.0,,Y
IDCJAC0009,070243,1975,01,21,0.0,,Y
IDCJAC0009,070243,1975,01,22,0.0,,Y
IDCJAC0009,070243,1975,01,23,0.0,,Y
IDCJAC0009,070243,1975,01,24,0.0,,Y
IDCJAC0009,070243,1975,01,25,1.8,1,Y
IDCJAC0009,070243,1975,01,26,15.4,1,Y
IDCJAC0009,070243,1975,01,27,0.0,,Y
IDCJAC0009,070243,1975,01,28,0.0,,Y
IDCJAC0009,070243,1975,01,29,0.0,,Y
IDCJAC0009,070243,1975,01,30,0.0,,Y
IDCJAC0009,070243,1975,01,31,0.0,,Y
IDCJAC0009,070243,1975,02,01,0.0,,Y
IDCJAC0009,070243,1975,02,02,0.0,,Y
IDCJAC0009,070243,1975,02,03,0.0,,Y
IDCJAC0009,070243,1975,02,04,0.0,,Y
IDCJAC0009,070243,1975,02,05,0.0,,Y
IDCJAC0009,070243,1975,02,06,0.0,,Y
IDCJAC0009,070243,1975,02,07,0.0,,Y
IDCJAC0009,070243,1975,02,08,0.0,,Y
IDCJAC0009,070243,1975,02,09,0.0,,Y
IDCJAC0009,070243,1975,02,10,7.4,1,Y
IDCJAC0009,070243,1975,02,11,22.6,1,Y
IDCJAC0009,070243,1975,02,12,31.4,1,Y
IDCJAC0009,070243,1975,02,13,0.0,,Y
IDCJAC0009,070243,1975,02,14,0.0,,Y
IDCJAC0009,070243,1975,02,15,0.2,1,Y
IDCJAC0009,070243,1975,02,16,0.2,1,Y
IDCJAC0009,070243,1975,02,17,0.0,,Y
IDCJAC0009,070243,1975,02,18,0.0,,Y
IDCJAC0009,070243,1975,02,19,0.0,,Y
IDCJAC0009,070243,1975,02,20,0.0,,Y
IDCJAC0009,070243,1975,02,21,6.4,1,Y
IDCJAC0009,070243,1975,02,22,10.6,1,Y
IDCJAC0009,070243,1975,02,23,0.6,1,Y
IDCJAC0009,070243,1975,02,24,0.6,1,Y
IDCJAC0009,070243,1975,02,25,0.0,,Y
IDCJAC0009,070243,1975,02,26,0.0,,Y
IDCJAC0009,070243,1975,02,27,12.6,1,Y
IDCJAC0009,070243,1975,02,28,0.6,1,Y
IDCJAC0009,070243,1975,03,01,0.0,,Y
IDCJAC0009,070243,1975,03,02,0.0,,Y
IDCJAC0009,070243,1975,03,03,0.0,,Y
IDCJAC0009,070243,1975,03,04,0.0,,Y
IDCJAC0009,070243,1975,03,05,0.0,,Y
IDCJAC0009,070243,1975,03,06,0.0,,Y
IDCJAC0009,070243,1975,03,07,0.0,,Y
IDCJAC0009,070243,1975,03,08,2.8,1,Y
IDCJAC0009,070243,1975,03,09,0.2,1,Y
IDCJAC0009,070243,1975,03,10,1.0,1,Y
IDCJAC0009,070243,1975,03,11,9.8,1,Y
IDCJAC0009,070243,1975,03,12,1.2,1,Y
IDCJAC0009,070243,1975,03,13,2.0,1,Y
IDCJAC0009,070243,1975,03,14,0.0,,Y
IDCJAC0009,070243,1975,03,15,0.0,,Y
IDCJAC0009,070243,1975,03,16,0.0,,Y
IDCJAC0009,070243,1975,03,17,0.0,,Y
IDCJAC0009,070243,1975,03,18,0.6,1,Y
IDCJAC0009,070243,1975,03,19,9.0,1,Y
IDCJAC0009,070243,1975,03,20,4.8,1,Y
IDCJAC0009,070243,1975,03,21,0.6,1,Y
IDCJAC0009,070243,1975,03,22,0.0,,Y
IDCJAC0009,070243,1975,03,23,0.0,,Y
IDCJAC0009,070243,1975,03,24,0.0,,Y
IDCJAC0009,070243,1975,03,25,0.0,,Y
IDCJAC0009,070243,1975,03,26,0.4,1,Y
IDCJAC0009,070243,1975,03,27,0.0,,Y
IDCJAC0009,070243,1975,03,28,0.0,,Y
IDCJAC0009,070243,1975,03,29,4.6,1,Y
IDCJAC0009,070243,1975,03,30,11.6,1,Y
IDCJAC0009,070243,1975,03,31,0.0,,Y
IDCJAC0009,070243,1975,04,01,0.2,1,Y
IDCJAC0009,070243,1975,04,02,0.0,,Y
IDCJAC0009,070243,1975,04,03,0.0,,Y
IDCJAC0009,070243,1975,04,04,0.0,,Y
IDCJAC0009,070243,1975,04,05,0.0,,Y
IDCJAC0009,070243,1975,04,06,1.2,1,Y
IDCJAC0009,070243,1975,04,07,0.0,,Y
IDCJAC0009,070243,1975,04,08,0.0,,Y
IDCJAC0009,070243,1975,04,09,0.0,,Y
IDCJAC0009,070243,1975,04,10,0.0,,Y
IDCJAC0009,070243,1975,04,11,0.0,,Y
IDCJAC0009,070243,1975,04,12,0.0,,Y
IDCJAC0009,070243,1975,04,13,0.0,,Y
IDCJAC0009,070243,1975,04,14,0.0,,Y
IDCJAC0009,070243,1975,04,15,0.4,1,Y
